Date,Btc_Close,Eth_Close,Ltc_Close
2019-08-23,10410.85,194.59,75.48
2019-08-24,10147.96,190.89,73.4
2019-08-25,10138.72,186.59,72.15
2019-08-26,10361.65,188.3,73.38
2019-08-27,10171.85,186.94,72.75
2019-08-28,9714.31,172.79,66.79
2019-08-29,9495.0,168.82,63.46
2019-08-30,9582.42,168.4,64.21
2019-08-31,9600.86,171.93,64.35
2019-09-01,9766.52,171.29,66.1
2019-09-02,10381.26,178.8,67.2
2019-09-03,10628.48,178.96,69.12
2019-09-04,10581.84,174.82,67.13
2019-09-05,10574.73,174.0,65.27
2019-09-06,10308.92,169.2,64.98
2019-09-07,10484.37,178.08,68.87
2019-09-08,10398.97,181.56,70.56
2019-09-09,10310.0,180.63,69.93
2019-09-10,10093.01,179.64,70.75
2019-09-11,10160.2,178.3,69.81
2019-09-12,10423.72,181.09,69.28
2019-09-13,10365.93,181.65,69.09
2019-09-14,10360.25,188.85,70.62
2019-09-15,10304.46,189.3,70.14
2019-09-16,10262.54,197.59,72.76
2019-09-17,10185.39,207.95,74.13
2019-09-18,10155.26,210.27,77.75
2019-09-19,10275.01,220.8,76.82
2019-09-20,10168.85,218.06,75.1
2019-09-21,9973.99,214.8,73.18
2019-09-22,10026.8,211.1,72.26
2019-09-23,9693.74,200.8,66.47
2019-09-24,8530.01,166.26,55.5
2019-09-25,8438.35,170.0,57.53
2019-09-26,8060.0,165.85,55.21
2019-09-27,8193.99,174.44,56.05
2019-09-28,8217.47,173.9,55.53
2019-09-29,8052.4,169.38,53.91
2019-09-30,8304.96,181.17,56.09
2019-10-01,8321.52,176.15,55.8
2019-10-02,8381.72,180.82,56.43
2019-10-03,8240.41,175.05,56.44
2019-10-04,8156.67,175.97,56.51
2019-10-05,8147.63,176.73,56.85
2019-10-06,7859.79,170.18,54.48
2019-10-07,8209.0,180.26,57.56
2019-10-08,8180.0,180.72,57.0
2019-10-09,8590.0,193.26,59.26
2019-10-10,8587.5,191.79,57.77
2019-10-11,8267.33,180.84,55.94
2019-10-12,8309.03,179.86,55.77
2019-10-13,8282.97,181.18,56.48
2019-10-14,8355.0,186.85,56.87
2019-10-15,8162.44,180.58,54.56
2019-10-16,7993.54,174.5,52.51
2019-10-17,8076.2,177.31,54.95
