,SPY
2019-07-02,0.0028754101688033273
2019-07-03,0.007758213586993135
2019-07-05,-0.0013388673182487265
2019-07-08,-0.005027483576886982
2019-07-09,0.0013474365020547108
2019-07-10,0.004541478840072832
2019-07-11,0.0023107062723954908
2019-07-12,0.004610758436351503
2019-07-15,0.0002660635891977847
2019-07-16,-0.003391408431972276
2019-07-17,-0.006572362714352575
2019-07-18,0.0036269604056824445
2019-07-19,-0.005788857286264104
2019-07-22,0.002692514808831481
2019-07-23,0.006847475832438166
2019-07-24,0.004733964528603973
2019-07-25,-0.0046778153825735025
2019-07-26,0.006733335511327487
2019-07-29,-0.0016887976423060058
2019-07-30,-0.002189199946928566
2019-07-31,-0.011435409879662295
2019-08-01,-0.008406752303450116
2019-08-02,-0.007189365165491068
2019-08-05,-0.0297854898210137
2019-08-06,0.013131953246021455
2019-08-07,0.000903499322375545
2019-08-08,0.019164670346839108
2019-08-09,-0.006676886390734271
2019-08-12,-0.01196886038615852
2019-08-13,0.015029503644567788
2019-08-14,-0.029100981431453676
2019-08-15,0.002712031558185446
2019-08-16,0.014682637254557651
2019-08-19,0.011943088586561457
2019-08-20,-0.007765462506841736
2019-08-21,0.008205481813480464
2019-08-22,-0.0004103546147796733
2019-08-23,-0.025657692176114355
2019-08-26,0.011095116042273867
2019-08-27,-0.003924019863180361
2019-08-28,0.006937665597545717
2019-08-29,0.012914170965619975
2019-08-30,-0.0003418102269621137
2019-09-03,-0.005778568009300433
2019-09-04,0.011005261890841611
2019-09-05,0.013096574480389034
2019-09-06,0.0008394332146934858
2019-09-09,0.0002683933304257202
2019-09-10,0.00016770082173400702
2019-09-11,0.0070087189805501104
2019-09-12,0.003263511938459418
2019-09-13,-0.0007302419756364253
2019-09-16,-0.00295631954824771
2019-09-17,0.0025986140724945095
2019-09-18,0.0005316674420150491
2019-09-19,-0.0001328462304882594
2019-09-20,-0.009732279279877742
2019-09-23,0.0004025089725958608
2019-09-24,-0.008181056160938782
2019-09-25,0.006051181501639524
2019-09-26,-0.0021169354838709298
2019-09-27,-0.005421423039364326
2019-09-30,0.004976977248103864
2019-10-01,-0.012195532796550279
2019-10-02,-0.017632413628457244
2019-10-03,0.008089154284127043
2019-10-04,0.01377552777490787
2019-10-07,-0.004280327479022961
2019-10-08,-0.01555729930742722
2019-10-09,0.009287818402356596
2019-10-10,0.0069017614943516215
2019-10-11,0.010298731414540852
2019-10-14,-0.0008438533720380725
2019-10-15,0.009763183676227083
2019-10-16,-0.0016393442622949506
2019-10-17,0.002781408129754359
2019-10-18,-0.004210667023125225
2019-10-21,0.0069467749513389965
2019-10-22,-0.0033994334277621663
2019-10-23,0.0027756412400095076
2019-10-24,0.0018675381844861505
2019-10-25,0.00406098129285648
2019-10-28,0.005702161517040283
2019-10-29,-0.0005274261603376296
2019-10-30,0.003100263852242824
2019-10-31,-0.0028934043532583553
2019-11-01,0.009628701444305277
2019-11-04,0.0037886210725714964
2019-11-05,-0.0011062666753431927
2019-11-06,0.0004560260586319309
2019-11-07,0.003516311779644621
2019-11-08,0.002433326844461847
2019-11-11,-0.0018772049066253516
2019-11-12,0.0017834560134895039
2019-11-13,0.00042079368162095676
2019-11-14,0.0014883359756687753
2019-11-15,0.007430620618356976
2019-11-18,0.0005131000865856716
2019-11-19,-0.000320523093689018
2019-11-20,-0.0035268844785019127
2019-11-21,-0.0016088033720518258
2019-11-22,0.0022881820232685257
2019-11-25,0.007556270096463091
2019-11-26,0.0021381841391414635
2019-11-27,0.0045220049678365015
2019-11-29,-0.0037091047425817925
2019-12-02,-0.00849587933942142
2019-12-03,-0.006835686777920347
2019-12-04,0.006462661970465744
2019-12-05,0.001830031784762598
2019-12-06,0.008909114216125946
2019-12-09,-0.003017597357219959
2019-12-10,-0.001019530378819189
2019-12-11,0.0027427842449370132
2019-12-12,0.008682929932253947
2019-12-13,0.00044144541842716656
2019-12-16,0.007028492183560386
2019-12-17,0.00015648962473790995
2019-12-18,3.129302791338162e-05
2019-12-19,0.004193134524517417
2019-12-20,0.00012464553924762534
2019-12-23,0.0008412525315470987
2019-12-24,0.00012452524749373417
2019-12-26,0.005136026894104528
2019-12-27,-0.00015484190641357198
2019-12-30,-0.005451279192219549
2019-12-31,0.0024602927436934152
2020-01-02,0.009164621454534227
2020-01-03,-0.0073882526782415026
2020-01-06,0.003814663193152379
2020-01-07,-0.0028115055457720306
2020-01-08,0.005143140413929936
2020-01-09,0.006781332840145371
2020-01-10,-0.0028167289204580337
2020-01-13,0.006877494626957414
2020-01-14,-0.0015551625297309801
2020-01-15,0.0022600250435207414
2020-01-16,0.008318859127890876
2020-01-17,0.0033544877606528356
2020-01-21,-0.002108370229812362
2020-01-22,0.0002414656967792972
2020-01-23,0.0010561573976282101
2020-01-24,-0.009013082534515049
2020-01-27,-0.01590874524714836
2020-01-28,0.01041666666666674
2020-01-29,-0.0008259659212578319
2020-01-30,0.0031841283448657
2020-01-31,-0.01806750900323506
2020-02-03,0.007459439298812542
2020-02-04,0.015240328253223856
2020-02-05,0.011365017624893614
2020-02-06,0.003425274923382071
2020-02-07,-0.005270092226613898
2020-02-10,0.007495484647802586
2020-02-11,0.0017927036959575204
2020-02-12,0.006322884667004702
2020-02-13,-0.0009780385880679976
2020-02-14,0.0015426604960246948
2020-02-18,-0.002665876777251275
2020-02-19,0.004781704781704921
2020-02-20,-0.003931305607283164
2020-02-21,-0.010356697726868092
2020-02-24,-0.03322438453926646
2020-02-25,-0.03011693185695241
2020-02-26,-0.003677646306363802
2020-02-27,-0.0449366072861499
